object_id,department,title,object_name,origin_country,period,artist_display_name,artist_begin_date,artist_end_date,medium,link_resource,tags,century,primary_image,artist_gender
39542,Asian Art,五代　傳董元　溪岸圖　軸|Riverbank,Hanging scroll,China,Southern Tang dynasty (937–76),Dong Yuan,930.0,960.0,Hanging scroll; ink and color on silk,http://www.metmuseum.org/art/collection/search/39542,Landscapes|Rivers|Mountains,10th century,https://images.metmuseum.org/CRDImages/as/original/DP-13074-006.jpg,Male
39668,Asian Art,"北宋    郭熙    樹色平遠圖    卷  |Old Trees, Level Distance",Handscroll,China,Northern Song dynasty (960–1127),Guo Xi,1000.0,1090.0,Handscroll; ink and color on silk,http://www.metmuseum.org/art/collection/search/39668,Trees|Landscapes,11th century,https://images.metmuseum.org/CRDImages/as/original/DP167812_CRD.jpg,Male
451193,Islamic Art,"""Hare"", Folio from the Mantiq al-wahsh (Speech of the Wild Animal) of Ka'b al-Ahbar",Folio from an illustrated manuscript,Egypt,Unknown,Ka'b al-Ahbar,,652.0,Opaque watercolor on paper,http://www.metmuseum.org/art/collection/search/451193,Rabbits,11th century,https://images.metmuseum.org/CRDImages/is/original/DP235885.jpg,Male
39936,Asian Art,北宋   徽宗   竹禽圖   卷|Finches and bamboo,Handscroll,China,Northern Song dynasty (960–1127),Emperor Huizong,1082.0,1135.0,Handscroll; ink and color on silk,http://www.metmuseum.org/art/collection/search/39936,Birds|Bamboo,12th century,https://images.metmuseum.org/CRDImages/as/original/DP151504_CRD.jpg,Male
36005,Asian Art,"南宋  夏珪  山市晴嵐圖  冊頁|Mountain Market, Clearing Mist",Album leaf,China,Southern Song dynasty (1127–1279),Xia Gui,1195.0,1230.0,"Album leaf; ink on silk  
",http://www.metmuseum.org/art/collection/search/36005,Landscapes|Mountains,13th century,https://images.metmuseum.org/CRDImages/as/original/DP154073.jpg,Male
446288,Islamic Art,"""Physician Preparing an Elixir"", Folio from a Materia Medica of Dioscorides",Folio from an illustrated manuscript,Iraq or Northern Jazira,Unknown,'Abdullah ibn al-Fadl,,,"Ink, opaque watercolor, and gold on paper",http://www.metmuseum.org/art/collection/search/446288,Men|Arabic|Medicine,13th century,https://images.metmuseum.org/CRDImages/is/original/sf13-152-6d.jpg,Male
459046,Robert Lehman Collection,Saints Bartholomew and Simon,Painting,Italy,Unknown,Master of Saint Francis,1250.0,1275.0,Tempera and gold on wood,http://www.metmuseum.org/art/collection/search/459046,Men|Saints,13th century,https://images.metmuseum.org/CRDImages/rl/original/DP-28634-001.jpg,Male
36029,Asian Art,수월관음도 고려|水月觀音圖 高麗|Water-moon Avalokiteshvara,Hanging scroll,Korea,Goryeo dynasty (918–1392),Unidentified artist,,,Hanging scroll; ink and color on silk,http://www.metmuseum.org/art/collection/search/36029,Bodhisattvas|Buddhism|Avalokiteshvara,14th century,https://images.metmuseum.org/CRDImages/as/original/DP-15580-002.jpg,Male
447071,Islamic Art,Folio from a Mu'nis al-ahrar fi daqa'iq al-ash'ar (The Free Man's Companion to the Subtleties of Poems) of Jajarmi,Folio from an illustrated manuscript,Iran,Unknown,Muhammad ibn Badr al-Din Jajarmi,1315.0,1365.0,"Ink, opaque watercolor, and gold on paper",http://www.metmuseum.org/art/collection/search/447071,Poetry|Bulls|Crabs|Rams|Zodiac|Lions,14th century,https://images.metmuseum.org/CRDImages/is/original/DP241048.jpg,Male
458955,Robert Lehman Collection,Saint Peter,Painting,Italy,Unknown,"Follower of Barna da Siena|Follower of Lippo Memmi (Italian, Sienese, active mid-14th century)",,,"Tempera on wood, gold ground",http://www.metmuseum.org/art/collection/search/458955,Saint Peter,14th century,https://images.metmuseum.org/CRDImages/rl/original/DP-14827-001.jpg,Male
